<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.12.31	00:00:00	47295.50	47312.50	46727.50	47078.50	3637	0	3000
2021.12.31	01:00:00	47076.50	47242.00	46934.50	47119.00	3686	0	3000
2021.12.31	02:00:00	47119.00	47400.00	46834.50	47071.00	4129	0	3000
2021.12.31	03:00:00	47071.00	47355.50	46842.50	47123.50	3538	0	3000
2021.12.31	04:00:00	47123.50	47126.50	46830.50	46994.50	2906	0	3000
2021.12.31	05:00:00	46994.50	47285.50	46906.00	47196.50	2783	0	3000
2021.12.31	06:00:00	47196.50	47459.50	47135.00	47345.00	2960	0	3000
2021.12.31	07:00:00	47345.00	47407.00	47205.50	47274.50	2438	0	3000
2021.12.31	08:00:00	47274.50	47551.50	47151.50	47390.00	2722	0	3000
2021.12.31	09:00:00	47390.00	47453.50	46807.50	47173.00	3999	0	3000
2021.12.31	10:00:00	47173.50	48534.50	47063.50	48442.00	6038	0	3000
2021.12.31	11:00:00	48442.00	48563.50	48235.00	48297.00	4154	0	3000
2021.12.31	12:00:00	48301.00	48461.00	47914.50	48015.50	3052	0	3000
2021.12.31	13:00:00	48015.50	48195.00	47894.50	47964.50	3144	0	3000
2021.12.31	14:00:00	47964.50	48089.00	47817.50	47960.00	2880	0	3000
2021.12.31	15:00:00	47960.00	48061.50	47872.50	47936.00	2505	0	3000
2021.12.31	16:00:00	47936.00	48129.00	47831.50	47971.50	2849	0	3000
2021.12.31	17:00:00	47971.50	48101.00	47836.50	47932.00	2629	0	3000
2021.12.31	18:00:00	47934.00	48098.00	47408.50	47458.50	3276	0	3000
2021.12.31	19:00:00	47458.50	47535.00	46870.00	46992.50	4703	0	3000
2021.12.31	20:00:00	46992.50	47013.00	46506.00	46648.00	3767	0	3000
2021.12.31	21:00:00	46648.00	46648.50	45645.00	45693.50	6088	0	3000
2021.12.31	22:00:00	45693.50	46192.00	45642.00	45866.50	5081	0	3000
2021.12.31	23:00:00	45858.50	46495.00	45761.00	46270.00	4149	0	3000
2022.01.01	01:00:00	46298.00	46493.50	46126.50	46188.00	2531	0	3000
2022.01.01	02:00:00	46186.00	46725.00	46181.00	46654.00	3405	0	3000
2022.01.01	03:00:00	46654.00	46913.50	46550.00	46774.00	3116	0	3000
2022.01.01	04:00:00	46774.00	46910.00	46714.00	46800.00	2430	0	3000
2022.01.01	05:00:00	46801.00	46897.00	46753.50	46805.50	2113	0	3000
2022.01.01	06:00:00	46805.50	46869.00	46615.00	46691.00	2425	0	3000
2022.01.01	07:00:00	46691.00	47537.00	46660.00	47188.00	3944	0	3000
2022.01.01	08:00:00	47188.00	47322.00	46940.00	46976.00	2989	0	3000
2022.01.01	09:00:00	46978.00	47252.00	46893.00	47197.00	3095	0	3000
2022.01.01	10:00:00	47195.00	47340.00	47079.00	47115.00	2876	0	3000
2022.01.01	11:00:00	47115.00	47203.00	46937.50	47137.00	2892	0	3000
2022.01.01	12:00:00	47137.00	47292.00	46720.00	46853.00	4289	0	3000
2022.01.01	13:00:00	46853.00	46992.00	46742.00	46748.00	3404	0	3000
2022.01.01	14:00:00	46748.00	47147.00	46748.00	47087.00	2841	0	3000
2022.01.01	15:00:00	47087.00	47194.00	46940.00	47020.00	2905	0	3000
2022.01.01	16:00:00	47020.00	47103.00	46849.00	46909.00	2952	0	3000
2022.01.02	00:00:00	47326.00	47493.00	47230.00	47449.00	2453	0	3000
2022.01.02	01:00:00	47449.00	47817.00	47289.50	47733.00	3560	0	3000
2022.01.02	02:00:00	47733.00	47758.00	47387.50	47630.00	3291	0	3000
2022.01.02	03:00:00	47630.00	47644.50	47317.50	47376.50	2226	0	3000
2022.01.02	04:00:00	47379.50	47446.50	47286.50	47369.50	2010	0	3000
2022.01.02	05:00:00	47369.50	47464.50	47268.00	47331.50	1620	0	3000
2022.01.02	06:00:00	47331.50	47421.50	46767.50	46906.50	2818	0	3000
2022.01.02	07:00:00	46906.50	47090.00	46835.50	47084.50	2605	0	3000
2022.01.02	08:00:00	47084.50	47238.50	46986.00	47121.50	2503	0	3000
2022.01.02	09:00:00	47121.50	47293.50	47088.50	47176.50	2395	0	3000
2022.01.02	12:00:00	47276.50	47344.50	47146.00	47192.50	2220	0	3000
2022.01.02	13:00:00	47192.50	47386.50	47165.50	47231.00	2505	0	3000
2022.01.02	14:00:00	47231.00	47463.00	47013.50	47290.50	3308	0	3000
2022.01.02	15:00:00	47290.50	47298.50	47069.00	47125.50	2801	0	3000
2022.01.02	16:00:00	47125.50	47191.50	47011.50	47114.50	2813	0	3000
2022.01.02	17:00:00	47114.50	47394.50	47072.50	47346.50	3159	0	3000
2022.01.02	18:00:00	47346.50	47881.00	47279.50	47805.00	3817	0	3000
2022.01.02	19:00:00	47805.00	47994.50	47334.00	47404.50	4514	0	3000
2022.01.02	20:00:00	47404.50	47406.50	46661.00	47059.50	4751	0	3000
2022.01.02	21:00:00	47059.50	47226.50	46840.00	46912.50	3536	0	3000
2022.01.02	22:00:00	46914.50	47059.00	46829.00	47006.50	2989	0	3000
2022.01.02	23:00:00	47006.50	47177.50	46920.50	47019.50	2638	0	3000
2022.01.03	00:00:00	47025.50	47405.00	47019.50	47267.00	2629	0	3000
2022.01.03	01:00:00	47267.00	47478.50	47267.00	47299.50	3012	0	3000
2022.01.03	02:00:00	47299.50	47302.50	47057.00	47057.00	2965	0	3000
2022.01.03	03:00:00	47058.50	47139.00	46954.50	47119.50	2530	0	3000
2022.01.03	04:00:00	47119.50	47119.50	46853.00	46994.50	2018	0	3000
2022.01.03	05:00:00	46994.50	47075.00	46685.00	46788.00	2553	0	3000
2022.01.03	06:00:00	46788.00	46940.00	46742.00	46828.00	2199	0	3000
2022.01.03	07:00:00	46828.00	47202.50	46779.50	47081.50	2721	0	3000
2022.01.03	08:00:00	47080.00	47101.50	46884.50	46925.00	2224	0	3000
2022.01.03	09:00:00	46923.50	47074.00	46854.50	47048.00	2272	0	3000
2022.01.03	10:00:00	47048.00	47133.50	46917.50	46973.00	2436	0	3000
2022.01.03	11:00:00	46973.00	47094.50	46767.50	46982.00	3227	0	3000
2022.01.03	12:00:00	46982.00	47244.50	46980.50	47128.00	3281	0	3000
2022.01.03	13:00:00	47127.00	47430.00	47127.00	47371.00	3372	0	3000
2022.01.03	14:00:00	47373.00	47567.50	47172.50	47188.50	3635	0	3000
2022.01.03	15:00:00	47188.50	47343.50	47077.00	47092.00	2993	0	3000
2022.01.03	16:00:00	47092.00	47267.50	46759.50	46855.50	4654	0	3000
2022.01.03	17:00:00	46854.00	47005.50	46569.50	46673.50	4602	0	3000
2022.01.03	18:00:00	46671.50	46765.50	46264.50	46473.50	4840	0	3000
2022.01.03	19:00:00	46473.50	46781.00	46405.00	46571.50	3125	0	3000
2022.01.03	20:00:00	46571.50	46673.00	46402.50	46442.00	3066	0	3000
2022.01.03	21:00:00	46442.00	46641.50	46332.00	46357.50	3307	0	3000
2022.01.03	22:00:00	46356.50	46398.50	45688.00	45908.00	6117	0	3000
2022.01.03	23:00:00	45909.00	46258.00	45816.00	46033.00	4120	0	3000
2022.01.04	00:00:00	45978.50	46425.50	45961.00	46207.50	3750	0	3000
2022.01.04	01:00:00	46207.50	46566.50	46157.00	46444.50	3406	0	3000
2022.01.04	02:00:00	46444.50	46532.50	46142.50	46234.50	3573	0	3000
2022.01.04	03:00:00	46234.50	46393.00	46038.50	46043.00	3240	0	3000
2022.01.04	04:00:00	46043.00	46263.00	45937.50	46095.50	3395	0	3000
2022.01.04	05:00:00	46094.00	46369.50	45998.50	46307.50	3050	0	3000
2022.01.04	06:00:00	46307.50	46406.50	46011.50	46092.00	3334	0	3000
2022.01.04	07:00:00	46092.00	46291.00	46027.50	46147.00	2573	0	3000
2022.01.04	08:00:00	46145.50	46388.50	46064.00	46368.50	2836	0	3000
2022.01.04	09:00:00	46367.50	46570.50	46321.00	46554.50	3019	0	3000
2022.01.04	10:00:00	46553.50	46671.50	46396.50	46488.50	3663	0	3000
2022.01.04	11:00:00	46488.50	46596.50	46290.50	46344.50	3623	0	3000
2022.01.04	12:00:00	46344.50	46751.00	46288.00	46629.00	3392	0	3000
2022.01.04	13:00:00	46629.00	46763.00	46622.50	46720.50	3071	0	3000
2022.01.04	14:00:00	46722.50	46750.50	46463.50	46627.00	2669	0	3000
2022.01.04	15:00:00	46626.00	47055.00	46402.50	46956.50	3828	0	3000
2022.01.04	16:00:00	46956.50	47449.00	46810.50	47327.50	2837	0	3000
2022.01.04	17:00:00	47327.50	47524.50	46829.00	46895.50	3896	0	3000
2022.01.04	18:00:00	46896.50	46898.50	46622.50	46748.50	3663	0	3000
2022.01.04	19:00:00	46748.50	46958.50	46491.00	46534.50	2340	0	3000
2022.01.04	20:00:00	46535.50	46711.00	45521.00	45725.00	4869	0	3000
2022.01.04	21:00:00	45725.00	46442.50	45560.00	46028.00	5743	0	3000
2022.01.04	22:00:00	46028.00	46405.50	45938.50	46241.50	3770	0	3000
2022.01.04	23:00:00	46241.50	46310.00	46008.00	46282.00	2801	0	3000
2022.01.05	00:00:00	46206.00	46229.00	45952.50	46135.50	2695	0	3000
2022.01.05	01:00:00	46135.50	46135.50	45725.00	45807.50	3657	0	3000
