<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.12.31	01:00:00	1815.57	1816.17	1814.15	1815.77	972	0	12
2021.12.31	02:00:00	1815.77	1816.94	1815.20	1816.85	1323	0	5
2021.12.31	03:00:00	1816.84	1819.00	1815.11	1816.58	4107	0	5
2021.12.31	04:00:00	1816.58	1818.03	1814.69	1817.91	2517	0	8
2021.12.31	05:00:00	1817.90	1818.91	1816.63	1817.06	1982	0	5
2021.12.31	06:00:00	1817.10	1818.29	1817.10	1817.49	1116	0	5
2021.12.31	07:00:00	1817.49	1819.30	1817.49	1818.63	2067	0	5
2021.12.31	08:00:00	1818.64	1819.19	1817.65	1818.18	2412	0	8
2021.12.31	09:00:00	1818.16	1820.20	1816.62	1816.73	2574	0	5
2021.12.31	10:00:00	1816.73	1818.76	1815.11	1818.66	2760	0	5
2021.12.31	11:00:00	1818.66	1820.17	1817.76	1818.07	3055	0	5
2021.12.31	12:00:00	1818.07	1819.83	1817.92	1819.65	1967	0	7
2021.12.31	13:00:00	1819.65	1820.27	1818.85	1819.54	2242	0	5
2021.12.31	14:00:00	1819.47	1820.20	1818.50	1818.90	3226	0	5
2021.12.31	15:00:00	1818.92	1827.45	1818.92	1824.32	6441	0	5
2021.12.31	16:00:00	1824.33	1827.31	1822.12	1822.38	6898	0	5
2021.12.31	17:00:00	1822.38	1824.30	1820.27	1822.01	7472	0	5
2021.12.31	18:00:00	1821.99	1825.89	1821.55	1825.30	5132	0	5
2021.12.31	19:00:00	1825.30	1827.37	1824.98	1826.58	4625	0	5
2021.12.31	20:00:00	1826.61	1828.63	1824.73	1828.36	4500	0	5
2021.12.31	21:00:00	1828.39	1828.77	1827.17	1827.34	3180	0	5
2021.12.31	22:00:00	1827.35	1830.39	1827.13	1829.38	2581	0	5
2021.12.31	23:00:00	1829.38	1829.84	1828.11	1828.68	845	0	15
2022.01.03	01:00:00	1828.40	1831.74	1827.95	1828.44	1524	0	5
2022.01.03	02:00:00	1828.42	1831.01	1827.02	1830.27	2275	0	6
2022.01.03	03:00:00	1830.20	1831.59	1827.60	1828.81	2706	0	5
2022.01.03	04:00:00	1828.80	1828.89	1825.66	1826.15	1765	0	5
2022.01.03	05:00:00	1826.15	1826.91	1824.22	1825.70	1819	0	5
2022.01.03	06:00:00	1825.70	1826.00	1824.58	1825.17	1175	0	6
2022.01.03	07:00:00	1825.17	1825.77	1823.67	1825.47	1173	0	5
2022.01.03	08:00:00	1825.47	1825.74	1823.67	1825.30	1594	0	6
2022.01.03	09:00:00	1825.36	1825.40	1821.04	1824.19	3009	0	5
2022.01.03	10:00:00	1824.19	1824.33	1821.35	1822.85	3773	0	5
2022.01.03	11:00:00	1822.86	1826.66	1822.46	1826.40	3982	0	5
2022.01.03	12:00:00	1826.40	1827.52	1825.54	1826.46	2937	0	5
2022.01.03	13:00:00	1826.47	1827.06	1822.30	1822.87	3117	0	6
2022.01.03	14:00:00	1822.87	1823.24	1821.28	1821.77	3863	0	5
2022.01.03	15:00:00	1821.77	1822.03	1805.70	1807.08	10734	0	5
2022.01.03	16:00:00	1807.08	1810.88	1802.83	1802.90	11575	0	5
2022.01.03	17:00:00	1802.90	1806.67	1799.77	1801.93	11016	0	5
2022.01.03	18:00:00	1801.90	1801.95	1798.32	1800.72	8242	0	5
2022.01.03	19:00:00	1800.72	1801.02	1798.82	1799.72	3713	0	5
2022.01.03	20:00:00	1799.66	1802.21	1799.05	1801.65	3401	0	5
2022.01.03	21:00:00	1801.65	1803.02	1801.07	1801.72	2277	0	5
2022.01.03	22:00:00	1801.73	1804.58	1801.17	1801.72	3251	0	5
2022.01.03	23:00:00	1801.74	1802.23	1800.90	1801.17	1267	0	11
2022.01.04	01:00:00	1800.71	1804.30	1800.53	1804.17	1016	0	11
2022.01.04	02:00:00	1804.17	1804.89	1802.88	1804.47	2430	0	7
2022.01.04	03:00:00	1804.37	1806.84	1803.20	1805.18	6348	0	5
2022.01.04	04:00:00	1805.18	1807.11	1804.63	1805.38	2789	0	5
2022.01.04	05:00:00	1805.38	1806.18	1803.79	1804.17	2581	0	5
2022.01.04	06:00:00	1804.17	1804.28	1803.14	1803.49	1841	0	5
2022.01.04	07:00:00	1803.49	1805.50	1803.23	1805.41	2391	0	5
2022.01.04	08:00:00	1805.41	1806.01	1803.41	1803.46	3031	0	5
2022.01.04	09:00:00	1803.45	1807.42	1803.22	1805.77	4608	0	5
2022.01.04	10:00:00	1805.79	1806.84	1803.33	1803.99	5119	0	5
2022.01.04	11:00:00	1803.98	1806.71	1801.92	1805.69	4682	0	5
2022.01.04	12:00:00	1805.70	1808.62	1805.30	1805.61	3986	0	5
2022.01.04	13:00:00	1805.62	1805.63	1802.39	1804.01	4300	0	5
2022.01.04	14:00:00	1804.01	1805.02	1798.52	1801.20	6835	0	5
2022.01.04	15:00:00	1801.22	1807.32	1799.77	1807.22	9631	0	5
2022.01.04	16:00:00	1807.22	1810.91	1806.25	1810.21	11434	0	5
2022.01.04	17:00:00	1811.41	1816.69	1807.53	1814.60	12037	0	5
2022.01.04	18:00:00	1814.60	1815.58	1811.63	1812.55	8262	0	5
2022.01.04	19:00:00	1812.55	1815.09	1811.85	1813.60	5225	0	5
2022.01.04	20:00:00	1813.60	1815.19	1813.47	1815.11	4433	0	5
2022.01.04	21:00:00	1815.11	1815.26	1813.73	1814.56	2995	0	5
2022.01.04	22:00:00	1814.55	1815.45	1813.45	1815.25	3018	0	5
2022.01.04	23:00:00	1815.23	1815.33	1814.07	1814.46	1034	0	9
2022.01.05	01:00:00	1814.50	1814.52	1813.06	1813.93	946	0	10
2022.01.05	02:00:00	1813.93	1814.66	1812.78	1812.94	1829	0	5
2022.01.05	03:00:00	1812.94	1815.37	1812.73	1815.26	3513	0	5
2022.01.05	04:00:00	1815.22	1816.17	1814.10	1815.58	4485	0	5
2022.01.05	05:00:00	1815.58	1816.49	1814.39	1815.44	2818	0	5
2022.01.05	06:00:00	1815.43	1815.43	1814.62	1814.96	1911	0	5
2022.01.05	07:00:00	1814.94	1816.22	1814.26	1815.78	2895	0	5
2022.01.05	08:00:00	1815.78	1817.03	1812.70	1813.02	3596	0	5
2022.01.05	09:00:00	1813.07	1815.68	1812.48	1813.47	3488	0	6
2022.01.05	10:00:00	1813.44	1817.59	1813.34	1816.77	4920	0	5
2022.01.05	11:00:00	1816.75	1820.16	1816.31	1817.68	4382	0	5
2022.01.05	12:00:00	1817.68	1820.01	1817.66	1818.37	4051	0	5
2022.01.05	13:00:00	1818.36	1820.75	1817.73	1818.66	3875	0	5
2022.01.05	14:00:00	1818.66	1819.20	1816.97	1817.94	4106	0	5
2022.01.05	15:00:00	1817.94	1827.92	1814.92	1825.54	11889	0	5
2022.01.05	16:00:00	1825.54	1829.62	1825.16	1825.83	9628	0	5
2022.01.05	17:00:00	1825.88	1826.61	1820.40	1823.31	8833	0	5
2022.01.05	18:00:00	1823.30	1825.41	1822.42	1823.94	7175	0	5
2022.01.05	19:00:00	1823.94	1825.63	1822.56	1822.83	4563	0	5
2022.01.05	20:00:00	1822.78	1824.91	1822.66	1823.80	4379	0	5
2022.01.05	21:00:00	1823.80	1824.41	1812.44	1812.94	12612	0	5
2022.01.05	22:00:00	1812.95	1814.22	1808.25	1809.93	7546	0	5
2022.01.05	23:00:00	1809.79	1810.84	1808.81	1810.30	1616	0	5
2022.01.06	01:00:00	1810.13	1811.48	1809.58	1810.31	1058	0	5
2022.01.06	02:00:00	1810.28	1810.42	1807.75	1809.14	1884	0	7
2022.01.06	03:00:00	1809.11	1811.47	1807.03	1810.20	6504	0	5
2022.01.06	04:00:00	1810.20	1810.22	1808.11	1809.18	5374	0	5
2022.01.06	05:00:00	1809.17	1809.32	1806.51	1806.97	4366	0	7
2022.01.06	06:00:00	1806.97	1807.04	1805.28	1805.34	4276	0	5
2022.01.06	07:00:00	1805.63	1807.51	1802.98	1803.00	4822	0	5
2022.01.06	08:00:00	1803.00	1803.82	1799.42	1802.04	4837	0	5
2022.01.06	09:00:00	1802.02	1803.66	1799.45	1800.96	6083	0	5
2022.01.06	10:00:00	1800.94	1802.04	1794.66	1795.42	8183	0	5
2022.01.06	11:00:00	1795.42	1796.41	1793.75	1794.87	6472	0	5
2022.01.06	12:00:00	1794.85	1807.14	1793.84	1801.22	6775	0	5
