date,NVIDIA,AMD,Intel,TSMC,OpenAI
2023-12-31,15,22,19,1,8
2024-01-07,19,22,19,1,9
2024-01-14,18,23,19,1,9
2024-01-21,20,24,20,1,8
2024-01-28,21,27,20,1,8
2024-02-04,23,23,20,1,8
2024-02-11,25,23,19,1,15
2024-02-18,47,24,20,2,15
2024-02-25,33,25,20,2,11
2024-03-03,29,25,20,2,11
2024-03-10,27,23,20,1,10
2024-03-17,34,24,20,1,10
2024-03-24,27,23,19,1,9
2024-03-31,22,22,19,2,9
2024-04-07,20,20,19,2,9
2024-04-14,22,20,17,2,9
2024-04-21,22,21,20,1,8
2024-04-28,20,23,17,1,8
2024-05-05,19,21,17,1,9
2024-05-12,20,21,18,1,17
2024-05-19,37,21,17,1,12
2024-05-26,31,21,18,1,10
2024-06-02,44,24,19,1,12
2024-06-09,44,22,18,1,12
2024-06-16,43,21,18,1,10
2024-06-23,38,20,18,1,9
2024-06-30,27,20,18,1,8
2024-07-07,30,22,20,2,8
2024-07-14,30,23,22,2,8
2024-07-21,28,23,21,1,8
2024-07-28,32,27,28,1,7
2024-08-04,36,25,29,1,7
2024-08-11,30,25,23,1,8
2024-08-18,30,25,23,1,8
2024-08-25,49,25,23,1,8
2024-09-01,37,23,24,1,8
2024-09-08,29,22,21,1,10
2024-09-15,26,23,24,1,10
2024-09-22,26,22,23,1,11
2024-09-29,24,23,21,1,9
2024-10-06,28,25,22,1,9
2024-10-13,28,22,21,3,9
2024-10-20,30,23,22,2,9
2024-10-27,27,27,22,1,9
2024-11-03,30,26,23,1,9
2024-11-10,31,28,23,2,9
2024-11-17,42,26,23,1,9
2024-11-24,29,30,25,1,8
2024-12-01,30,29,28,1,10
2024-12-08,31,30,25,1,13
2024-12-15,30,27,25,1,11
2024-12-22,28,29,23,1,9
2024-12-29,27,29,22,1,7
2025-01-05,50,32,25,1,8
2025-01-12,33,28,22,2,8
2025-01-19,31,26,23,1,11
2025-01-26,100,30,24,2,13
2025-02-02,46,33,23,1,12
2025-02-09,34,28,24,1,12
2025-02-16,32,27,25,1,10
2025-02-23,47,30,22,1,10
2025-03-02,40,33,22,4,9
2025-03-09,35,28,23,2,10
2025-03-16,35,28,22,1,9
2025-03-23,30,26,21,1,11
2025-03-30,35,26,20,2,15
2025-04-06,40,26,21,2,11
2025-04-13,34,24,19,2,11
2025-04-20,30,26,22,1,11
2025-04-27,27,24,19,1,10
2025-05-04,25,26,18,1,10
2025-05-11,31,26,20,1,11
2025-05-18,29,25,21,1,13
2025-05-25,34,25,19,1,11
2025-06-01,29,26,21,1,11
2025-06-08,28,26,20,1,14
2025-06-15,24,27,20,1,12
2025-06-22,28,28,21,1,11
2025-06-29,27,26,21,1,12
