source_file,issuer,ticker,reporting_person,date_earliest_transaction,tenb5_1_checked,security_title,transaction_date,transaction_code,code_v_flag,shares_amount,action_A_or_D,price,owned_after,ownership_form,indirect_nature,parse_error
doc4.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-03-05,False,Common,2024-03-05,S,,1000.0,D,,3296136.0,I,By Trust (2),
doc4.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-03-05,False,Common,2024-03-05,S,,9590.0,D,,3286546.0,I,By Trust (2),
doc4.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-03-05,False,Common,2024-03-05,S,,189410.0,D,,3097136.0,I,By Trust (2),
doc4.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-03-05,False,Common,,,,,,,5228.0,D,,
doc4.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-03-05,False,Common,,,,,,,685248.0,I,By Profit Sharing Plan Trust (5),
form4-06102024_080653.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-06-07,False,Common Stock,2024-06-07,S,,1409.0,D,,,I,By Trust (3),
form4-06102024_080653.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-06-07,False,Common Stock,2024-06-07,S,,4008.0,D,,,I,By Trust (3),
form4-06102024_080653.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-06-07,False,Common Stock,2024-06-07,S,,20969.0,D,,,I,By Trust (3),
form4-06102024_080653.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-06-07,False,Common Stock,2024-06-07,G,,30000.0,D,,,I,By Trust (3),
form4-06102024_080653.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-06-07,False,Common Stock,2024-06-07,S,,73614.0,D,,,I,By Trust (3),
form4-06102024_080653.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-06-07,False,Common Stock,,,,,,,,D,,
form4-06102024_080653.xml,NVIDIA CORP,NVDA,COXE TENCH,2024-06-07,False,Common Stock,,,,,,,,I,By Profit Sharing Plan Trust (8),
wk-form4_1704840790.xml,NVIDIA CORP,NVDA,Robertson Donald F Jr,2024-01-05,True,Common Stock,2024-01-05,S (1),,450.0,D,484.62,50961.0,D,,
wk-form4_1704840872.xml,NVIDIA CORP,NVDA,Shoquist Debora,2024-01-08,True,Common Stock,2024-01-08,S (1),,5676.0,D,500.0,48360.0,I,By Trust (2),
wk-form4_1704840872.xml,NVIDIA CORP,NVDA,Shoquist Debora,2024-01-08,True,Common Stock,,,,,,,189645.0,D,,
